Protein_ID,Molecular_Weight_kDa,Isoelectric_Point_pI,Hydrophobicity,Solubility
P1,62.44,10.27,-1.79,0
P2,143.1,4.92,0.13,0
P3,112.48,4.16,0.16,0
P4,93.81,6.92,0.55,0
P5,31.84,10.89,0.9,1
P6,31.84,4.94,1.9,0
P7,18.13,8.38,0.07,1
P8,131.26,9.09,-0.71,0
P9,94.16,4.9,1.18,0
P10,109.13,8.83,-0.92,1
P11,12.88,5.94,-0.24,1
P12,145.79,8.06,-1.69,0
P13,126.54,8.07,-1.9,0
P14,39.73,7.29,1.85,0
P15,35.46,3.72,1.34,0
P16,35.68,9.68,0.78,0
P17,52.59,5.57,-0.36,1
P18,83.47,4.49,-1.31,0
P19,70.47,3.33,-1.37,1
P20,50.77,7.73,-1.0,0
P21,95.66,8.42,0.2,0
P22,29.53,3.13,0.86,0
P23,50.9,7.1,0.64,1
P24,61.29,4.81,-0.88,0
P25,73.85,8.16,1.82,0
P26,119.92,4.39,0.95,0
P27,37.95,8.53,0.22,1
P28,81.99,6.09,0.45,0
P29,92.94,10.49,-0.32,0
P30,16.5,4.1,-1.01,1
P31,95.06,5.73,-0.58,1
P32,33.87,3.91,1.03,0
P33,19.11,10.4,-1.94,1
P34,142.84,10.02,-1.54,0
P35,145.19,5.06,-1.82,1
P36,123.18,8.28,-1.84,0
P37,52.65,9.54,1.42,1
P38,23.67,7.44,0.81,1
P39,105.79,7.24,-0.1,0
P40,71.62,4.93,-1.61,0
P41,27.09,3.74,-0.03,1
P42,79.32,10.18,-0.11,1
P43,14.81,10.2,-1.31,1
P44,137.3,8.06,-0.26,1
P45,46.23,5.71,-0.41,1
P46,102.75,5.79,0.46,0
P47,53.64,8.81,0.54,0
P48,82.81,10.18,-1.82,1
P49,86.54,10.1,-0.5,0
P50,35.88,9.24,0.5,0
P51,145.74,8.14,0.01,0
P52,118.52,3.67,1.43,0
P53,141.53,4.29,0.63,0
P54,135.28,10.19,-1.35,0
P55,93.71,7.85,-1.72,0
P56,139.06,3.07,0.57,0
P57,22.39,3.81,-1.89,0
P58,37.44,8.31,0.34,0
P59,16.33,3.04,1.76,0
P60,55.55,4.29,0.3,0
P61,64.41,7.39,-0.45,1
P62,47.99,8.54,0.57,0
P63,126.02,8.22,-0.17,0
P64,59.95,4.79,0.18,0
P65,49.33,8.7,1.77,1
P66,85.98,4.9,-0.46,1
P67,29.73,5.6,1.84,1
P68,122.31,8.97,1.62,0
P69,20.44,8.2,-1.22,0
P70,148.16,9.79,-1.72,1
P71,118.11,8.26,-1.6,0
P72,37.82,7.55,-1.93,1
P73,10.77,3.75,-1.62,0
P74,124.16,5.94,0.73,0
P75,108.96,5.12,-1.72,0
P76,112.06,4.95,-0.72,0
P77,117.98,10.78,1.38,0
P78,20.37,6.14,-1.91,1
P79,60.19,10.14,1.26,1
P80,26.22,8.05,-0.87,0
P81,130.83,9.36,-1.53,0
P82,97.26,7.02,0.79,0
P83,56.33,7.62,0.52,0
P84,18.9,6.94,1.51,1
P85,53.54,4.56,0.94,0
P86,55.53,8.78,1.21,0
P87,112.14,5.25,-0.87,0
P88,99.26,3.19,-1.29,1
P89,134.21,8.16,1.0,0
P90,76.11,4.42,1.23,1
P91,26.74,10.52,1.96,0
P92,109.85,10.63,-0.35,0
P93,116.51,10.32,-0.51,1
P94,88.58,5.96,1.11,0
P95,117.94,3.12,-0.64,0
P96,79.13,10.43,1.72,0
P97,83.18,6.43,1.43,1
P98,69.86,10.73,-0.28,1
P99,13.56,10.71,1.0,0
P100,25.1,9.82,1.02,0
P101,14.4,5.36,-1.59,1
P102,99.1,6.08,1.61,0
P103,54.01,9.81,0.02,0
P104,81.2,5.54,1.31,0
P105,137.06,4.36,-0.72,0
P106,44.9,7.45,1.58,0
P107,67.45,10.49,-0.44,1
P108,115.78,8.57,-1.96,1
P109,42.03,7.56,1.62,0
P110,20.78,3.78,-1.63,1
P111,50.57,7.92,-0.72,0
P112,32.57,10.92,1.8,1
P113,140.16,4.12,1.8,0
P114,123.14,7.15,0.29,0
P115,98.68,10.02,0.53,0
P116,132.0,8.93,-0.21,0
P117,122.51,8.58,-0.83,1
P118,36.12,8.62,-0.69,1
P119,134.96,5.88,0.69,0
P120,85.51,5.35,1.01,0
P121,123.04,9.47,1.17,0
P122,135.45,9.48,1.16,0
P123,54.52,9.94,-1.64,1
P124,25.41,10.31,-0.02,1
P125,41.91,7.09,-1.77,0
P126,69.8,7.01,0.2,0
P127,124.52,9.39,-0.23,1
P128,130.5,8.2,1.55,0
P129,10.97,8.62,-0.6,1
P130,81.5,9.37,-1.53,1
P131,68.44,10.12,-1.43,1
P132,41.1,5.7,1.05,0
P133,26.78,6.0,0.47,1
P134,57.27,3.75,-1.6,1
P135,142.01,7.63,-1.66,0
P136,55.25,3.29,0.8,1
P137,82.63,6.72,-1.71,1
P138,108.42,7.34,1.29,0
P139,60.91,5.29,0.82,1
P140,146.05,7.73,-1.67,1
P141,144.74,3.24,-1.66,1
P142,45.25,3.3,1.95,0
P143,79.61,9.58,-0.5,1
P144,52.12,5.88,-0.52,1
P145,49.88,4.02,1.25,0
P146,15.16,7.18,1.79,0
P147,95.34,9.16,1.94,0
P148,80.38,4.73,1.01,0
P149,17.21,7.98,-0.49,1
P150,49.01,3.68,-1.67,1
